Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KH4CCHE4ZFSH8M8BEN3Q4YW4,bb-01,BB-01,published,http://localhost:9000/static/1770747479312-bb-01.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH4CCJ5FFFXNQ8K0NZW25JG9
prod_01KH4CCHE4ZFSH8M8BEN3Q4YW4,bb-01,BB-01,published,http://localhost:9000/static/1770747479312-bb-01.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH4CCJ5FH16Y5FA3CVHNYYAT
prod_01KH64KH2PJB2WJNA8AXSP2WVD,bb-02,BB-02,published,http://localhost:9000/static/1770806428657-bb-02.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH64KHNQKCK7C680WZMMW16B
prod_01KH64KH2PJB2WJNA8AXSP2WVD,bb-02,BB-02,published,http://localhost:9000/static/1770806428657-bb-02.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH64KHNQKSMA5WR91EZDJ8DR
prod_01KH64KH2PJB2WJNA8AXSP2WVD,bb-02,BB-02,published,http://localhost:9000/static/1770806428657-bb-02.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH64KHNQWFNWPNFG8N2N1ABB
prod_01KH64WQ73HAPFD8FD827PFYNC,hd-04,HD-04,published,http://localhost:9000/static/1770806729853-hd-04.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH64WQT82WS9DGXR2AW05EAB
prod_01KH64WQ73HAPFD8FD827PFYNC,hd-04,HD-04,published,http://localhost:9000/static/1770806729853-hd-04.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH64WQTA1A1W3VH204M700MH
prod_01KH653WRCK2WJJ93Z5RPRAXEY,hd-10,HD-10,published,http://localhost:9000/static/1770806964907-hd-10.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH653XAD16W8KR29015P9ZMD
prod_01KH653WRCK2WJJ93Z5RPRAXEY,hd-10,HD-10,published,http://localhost:9000/static/1770806964907-hd-10.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH653XAD4JB38N6FCVR4TMJW
prod_01KH65ASV3WD2RX39ANCTS24Q4,jc-04,JC-04,published,http://localhost:9000/static/1770807191286-jc-04.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH65ATCACEXAB8XY1HF5HX82
prod_01KH65ASV3WD2RX39ANCTS24Q4,jc-04,JC-04,published,http://localhost:9000/static/1770807191286-jc-04.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH65ATCAHR08C3199JE98KFZ
prod_01KH65HBCZZXQZ5D72ED11QFX0,jc-07,JC-07,published,http://localhost:9000/static/1770807405870-jc-07.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH65HBYE62REDAJDWVYSHD39
prod_01KH65QDJWPPWYNVV6QRE17QBM,jc-09,JC-09,published,http://localhost:9000/static/1770807604719-jc-09.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH65QE4Y959N58P5J0T2D9Q9
prod_01KH65QDJWPPWYNVV6QRE17QBM,jc-09,JC-09,published,http://localhost:9000/static/1770807604719-jc-09.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH65QE4YQPQQJBZ7SYCDGT0S
prod_01KH65QDJWPPWYNVV6QRE17QBM,jc-09,JC-09,published,http://localhost:9000/static/1770807604719-jc-09.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH65QE4ZA64X1RRYZ8VNNPD5
prod_01KH65XQ78SCMG7289YYT9XVKP,ls-03,LS-03,published,http://localhost:9000/static/1770807811106-ls-03.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH65XQT6K7RMSS3YV3NJMPR7
prod_01KH6695EQ7CPNPYC9KTW064WQ,pk-01,PK-01,published,http://localhost:9000/static/1770808186233-pk-01.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH669602P4B9TBZNHG9J3BW5
prod_01KH66FKBHK4KF61VH1C39FWRQ,rc-03,RC-03,published,http://localhost:9000/static/1770808397073-rc-03.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH66FKXGMNZDNRF4AFJ18ZCM
prod_01KH66FKBHK4KF61VH1C39FWRQ,rc-03,RC-03,published,http://localhost:9000/static/1770808397073-rc-03.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH66FKXGSACCWNY2MMD0SB67
prod_01KH66MZK5PGRC3BSH2A7B3H70,wb-04,WB-04,published,http://localhost:9000/static/1770808573436-wb-04.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH66N0430EX1RP1WDWF3QAGV
prod_01KH66MZK5PGRC3BSH2A7B3H70,wb-04,WB-04,published,http://localhost:9000/static/1770808573436-wb-04.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH66N043210ZT36VGKP6JRA9
prod_01KH66MZK5PGRC3BSH2A7B3H70,wb-04,WB-04,published,http://localhost:9000/static/1770808573436-wb-04.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH66N043C2D78MGWKF8Z4W36
prod_01KH66TQFNH87D199EE3D26FAK,wd-01,WD-01,published,http://localhost:9000/static/1770808761750-wd-01.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH66TR224NGX7CD12KZHAV60
prod_01KH66TQFNH87D199EE3D26FAK,wd-01,WD-01,published,http://localhost:9000/static/1770808761750-wd-01.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH66TR22SRXH88DM2FASN2VH
prod_01KH67012DWPN4Y6A01JMSWPGW,wp-01,WP-01,published,http://localhost:9000/static/1770808935401-wp-01.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH6701MV175Y9XKH97HVXHM2
prod_01KH67012DWPN4Y6A01JMSWPGW,wp-01,WP-01,published,http://localhost:9000/static/1770808935401-wp-01.png,sc_01KH44H3N30C7PTB1N3D4EGAVQ,variant_01KH6701MW24XK97FZMW3Y6PJF